starId,movieId
"nm9423949","WRe20",
"nm9425929","WRe20",
"nm9425266","WiW20",
"nm9441389","WiW20",
"nm9441390","WiW20",
"nm9423697","WiW20",
"nm9424981","WiW20",
"nm9435622","J2B70",
"nm9441781","Z9850",
"nm9429964","Z9850",
"nm9441782","Z9850",
"nm9429964","Z9850",
"nm9425741","IMz10",
"nm9427032","IMz10",
"nm9429252","IMz10",
"nm9427363","IMz10",
"nm9435388","IMz10",
"nm9435389","IMz10",
"nm9433940","IMz10",
"nm9435390","IMz10",
"nm9425929","WRe25",
"nm0","DeJ18",
"nm0","OtV10",
"nm9431699","CBl80",
"nm0","BSt10",
"nm9423383","GM190",
"nm9429938","GM190",
"nm9430184","GM190",
"nm9427261","GM190",
"nm9434023","GM190",
"nm9434024","GM190",
"nm9434025","GM190",
"nm9431043","GM190",
"nm9434026","GM190",
"nm9432627","GM190",
"nm9424386","GM190",
"nm9429688","GM190",
"nm9426672","GM190",
"nm9429103","BSt15",
"nm9423807","BSt15",
"nm9431503","BSt15",
"nm9431504","BSt15",
"nm9423844","BSt15",
"nm9428707","BSt15",
"nm9431505","BSt15",
"nm9427959","BSt15",
"nm9426918","BF5",
"nm9427398","BF5",
"nm9427218","BF5",
"nm9428391","BF5",
"nm9426339","BF5",
"nm9426296","BF5",
"nm9424566","BF5",
"nm9431184","BF5",
"nm9426296","BF5",
"nm9427218","BF5",
"nm0","MRa1",
"nm0","MRa2",
"nm9425908","BF7",
"nm9427978","BF7",
"nm9431193","BF7",
"nm9427355","BF7",
"nm9423511","BF7",
"nm0","MRa3",
"nm9427356","BF6",
"nm9429899","BF6",
"nm9425531","BF6",
"nm9425526","BF6",
"nm9429674","BF6",
"nm9423579","BF6",
"nm9431185","BF6",
"nm9431186","BF6",
"nm9431187","BF6",
"nm9431188","BF6",
"nm9431189","BF6",
"nm9431190","BF6",
"nm9431191","BF6",
"nm9431192","BF6",
"nm9424320","BF6",
"nm9425810","BF9",
"nm9428410","BF9",
"nm9428422","BF9",
"nm9431195","BF9",
"nm9428275","BF9",
"nm9424216","BF9",
"nm9428638","BF8",
"nm9426584","BF8",
"nm9428298","BF8",
"nm9431194","BF8",
"nm9429477","BF8",
"nm9425446","BF8",
"nm9423188","SiN10",
"nm9423349","SiN10",
"nm9440241","SiN10",
"nm9427106","SiN10",
"nm9427822","SiN10",
"nm9424363","SiN10",
"nm9427136","SiN10",
"nm9426659","SiN10",
"nm9424854","SiN10",
"nm9430522","HyM10",
"nm9424793","HyM10",
"nm9434947","HyM10",
"nm9432178","HyM10",
"nm9430989","HyM10",
"nm9429086","Z9865",
"nm9432178","Z9865",
"nm9436897","WRe10",
"nm9429203","WRe10",
"nm9428976","WiW12",
"nm9436546","WiW12",
"nm9440850","WiW12",
"nm9429070","WiW12",
"nm9438032","WiW12",
"nm9435566","WiW12",
"nm9423844","RA22",
"nm9438967","RA22",
"nm9429964","RA22",
"nm9438968","RA22",
"nm9429964","RA22",
"nm9429964","RA22",
"nm9424392","RA22",
"nm9425233","CWi10",
"nm9430272","CWi10",
"nm9429146","IMi10",
"nm9435334","IMi10",
"nm9429260","IMi10",
"nm9428773","IMi10",
"nm9435335","IMi10",
"nm9425525","IMi10",
"nm9426180","IMi10",
"nm9428976","IMi10",
"nm9427785","IMi10",
"nm9428793","IMi10",
"nm9423722","IMi10",
"nm9423646","NCo11",
"nm9425051","NCo11",
"nm0","WaC1",
"nm0","NCo10",
"nm0","MBa32",
"nm0","FL46.",
"nm0","Z9870",
"nm9431693","CBl67",
"nm9431694","CBl67",
"nm9425908","CBl67",
"nm9429964","NPS25",
"nm9426065","CBl60",
"nm9426445","RA10",
"nm9436843","RA10",
"nm9429605","RA10",
"nm9429230","RA10",
"nm9438960","RA10",
"nm9438961","RA10",
"nm9438962","RA10",
"nm9431112","RA10",
"nm9435562","RA10",
"nm9427247","WHW10",
"nm9424562","WHW10",
"nm9429718","WHW10",
"nm9425198","WHW10",
"nm9425596","WHW10",
"nm9427446","SHp13",
"nm9430989","SHp13",
"nm0","HSt1",
"nm9428027","ESP40",
"nm9433171","ESP40",
"nm9433172","ESP40",
"nm9433173","ESP40",
"nm9426224","SHp10",
"nm9423807","SHp10",
"nm9426224","SHp10",
"nm9423808","SHp10",
"nm9440222","SHp10",
"nm9423196","SHp10",
"nm9424362","MoB10",
"nm9425269","MoB10",
"nm9437812","MoB10",
"nm9437813","MoB10",
"nm9426762","MoB10",
"nm0","ESP34",
"nm9428027","ESP33",
"nm9427750","RA19",
"nm9423893","RA19",
"nm9438964","RA19",
"nm9438965","RA19",
"nm9429964","RA19",
"nm9438966","RA19",
"nm9428027","ESP32",
"nm9428027","ESP31",
"nm9425949","RA17",
"nm9429810","RA17",
"nm0","MBa40",
"nm9424774","RA15",
"nm9423095","RA15",
"nm9424131","RA15",
"nm9438963","RA15",
"nm9425949","RA15",
"nm9427338","RA15",
"nm9426335","RA15",
"nm9426445","RA15",
"nm9429964","RA15",
"nm9428334","RA15",
"nm9426565","RA15",
"nm9426407","HeW1",
"nm9424441","HeW1",
"nm9429763","HeW1",
"nm9434659","HeW1",
"nm9434660","HeW1",
"nm9429964","HeW1",
"nm9423095","HeW1",
"nm9424302","HeW1",
"nm9428321","HeW5",
"nm9434661","HeW5",
"nm9429203","RtC10",
"nm9424000","RtC10",
"nm9426354","RtC10",
"nm9439153","RtC10",
"nm9423629","RtC10",
"nm9429964","RtC10",
"nm9430129","ARw12",
"nm9426315","ARw12",
"nm9423925","ARw12",
"nm9428173","ARw12",
"nm9429181","ARw12",
"nm0","ARw10",
"nm9429059","Z9880",
"nm0","NPS20",
"nm9431695","CBl69",
"nm9431696","CBl69",
"nm0","NPS10",
"nm9431692","CBl35",
"nm9423807","BRf4",
"nm9425060","BRf4",
"nm9428666","BRf4",
"nm9423276","BRf4",
"nm9424933","BRf4",
"nm9431404","BRf4",
"nm9431405","BRf4",
"nm9431406","BRf4",
"nm9424434","BRf4",
"nm9427331","BRf4",
"nm9431407","BRf4",
"nm9423525","BRf4",
"nm9427653","BRf4",
"nm0","MMa10",
"nm9428526","LJo10",
"nm9425545","LJo10",
"nm9431691","CBl32",
"nm9427653","BRf2",
"nm9424657","BRf2",
"nm9431399","BRf2",
"nm9431116","BRf2",
"nm9431400","BRf2",
"nm9431401","BRf2",
"nm9431402","BRf2",
"nm9431403","BRf2",
"nm9430348","BRf2",
"nm9427653","BRf1",
"nm9423648","BRf1",
"nm9423248","BRf1",
"nm9429232","BRf1",
"nm9431398","BRf1",
"nm9428899","BRf1",
"nm9425100","BRf1",
"nm9428961","BRf1",
"nm9424110","BRf1",
"nm9429536","BRf1",
"nm9426260","BRf1",
"nm9429110","BRf1",
"nm9427194","BRf1",
"nm0","NPS15",
"nm9431689","CBl30",
"nm9431690","CBl30",
"nm9425399","JZi10",
"nm9423509","JZi10",
"nm9425979","JZi10",
"nm9423205","JZi10",
"nm9429707","JZi10",
"nm9424933","DHL1",
"nm9432449","DHL1",
"nm9432450","DHL1",
"nm9432451","DHL1",
"nm9423457","ESP30",
"nm0","MBa15",
"nm9432452","DHL6",
"nm9432453","DHL6",
"nm9432454","DHL6",
"nm9423264","DHL6",
"nm9432455","DHL6",
"nm9428459","WWn100",
"nm9429352","WWn100",
"nm9424952","WWn100",
"nm0","ESP27",
"nm0","ESP26",
"nm0","ESP25",
"nm9428459","WWn101",
"nm9429352","WWn101",
"nm9424952","WWn101",
"nm9429826","WWn101",
"nm9428744","WWn101",
"nm9432271","WWn101",
"nm9428042","WWn101",
"nm0","MBa10",
"nm0","SK1",
"nm9424469","SK3",
"nm9428067","SK3",
"nm9423629","SK3",
"nm9440258","SK3",
"nm9430191","SK3",
"nm9424738","SK3",
"nm9436267","SK3",
"nm9440259","SK3",
"nm9440260","SK3",
"nm9440261","SK3",
"nm9429753","SK3",
"nm9431253","PmR1",
"nm9438789","PmR1",
"nm9432148","PmR1",
"nm9438790","PmR1",
"nm9438791","PmR1",
"nm9429101","Z9895",
"nm9429929","Z9895",
"nm9426059","Z9895",
"nm9429964","Z9895",
"nm9438877","Z9895",
"nm9429964","Z9895",
"nm0","ESP28",
"nm9425473","SK2",
"nm9428853","SK2",
"nm9426825","SK2",
"nm9423629","SK2",
"nm9429672","SK2",
"nm9427709","SK2",
"nm9434824","SK2",
"nm9429330","SK5",
"nm9426994","SK5",
"nm9426331","SK5",
"nm9429897","SK5",
"nm9440262","SK5",
"nm9440263","SK5",
"nm9428288","SK5",
"nm9423137","SK5",
"nm9425949","MBr25",
"nm9428046","MBr25",
"nm9437408","MBr25",
"nm9429964","MBr25",
"nm9437409","MBr25",
"nm9427948","SK4",
"nm9425274","SK4",
"nm9427972","SK4",
"nm9423311","SK4",
"nm9429330","SK6",
"nm9426547","SK6",
"nm9428641","SK6",
"nm9424693","SK6",
"nm9429726","SK6",
"nm9425283","SK6",
"nm9429672","SK6",
"nm9423488","SK6",
"nm9424219","SK6",
"nm9428751","SK6",
"nm9423957","SK6",
"nm9423762","AuJ10",
"nm9430894","AuJ10",
"nm9430895","AuJ10",
"nm9424302","Z9890",
"nm9432178","Z9890",
"nm9429330","SK8",
"nm9423599","SK8",
"nm9423951","SK8",
"nm9428294","SK8",
"nm9429819","SK8",
"nm9424838","SK8",
"nm9436454","SK8",
"nm9428763","SK8",
"nm9423108","SK8",
"nm9428139","SK8",
"nm9425589","SK8",
"nm9427275","SK8",
"nm9428480","SK8",
"nm9428838","SK8",
"nm9440264","SK8",
"nm9426302","SK8",
"nm9429633","BuK5",
"nm9424760","BuK5",
"nm9431539","BuK5",
"nm9429550","BuK5",
"nm9429887","BuK5",
"nm9423948","BuK5",
"nm9424954","BuK5",
"nm9424657","BuK5",
"nm9423883","BuK3",
"nm9425118","BuK2",
"nm9425216","BuK2",
"nm9426438","CBl40",
"nm0","SSu5",
"nm9432098","CLi10",
"nm9432099","CLi10",
"nm9432100","CLi10",
"nm9432101","CLi10",
"nm9432102","CLi10",
"nm9432103","CLi10",
"nm9432104","CLi10",
"nm9425138","MBa27",
"nm9437386","MBa27",
"nm9429952","MBa27",
"nm9437387","MBa27",
"nm9437388","MBa27",
"nm9433164","ESP12",
"nm9433165","ESP12",
"nm9433166","ESP12",
"nm9433167","ESP12",
"nm9427969","xMe10",
"nm9433162","ESP11",
"nm9433163","ESP11",
"nm0","MRe5",
"nm0","ESP10",
"nm0","MBa25",
"nm9437906","MRe7",
"nm9428857","MRe7",
"nm9424447","MRe7",
"nm9428151","MRe7",
"nm9426043","MRe7",
"nm9437907","MRe7",
"nm9426511","MRe7",
"nm9433168","ESP16",
"nm9440945","TVb10",
"nm9440946","TVb10",
"nm9440947","TVb10",
"nm9429964","TVb10",
"nm9429964","TVb10",
"nm9426957","FrD10",
"nm9429316","FrD10",
"nm9433497","FrD10",
"nm9433498","FrD10",
"nm9433499","FrD10",
"nm9423175","FrD10",
"nm9425118","SL1",
"nm9424233","SL1",
"nm9427035","SL1",
"nm9429582","SL1",
"nm9423524","SL1",
"nm9423401","SL1",
"nm9425056","SL1",
"nm9426448","SL1",
"nm9429522","SL1",
"nm9429650","SL1",
"nm9423634","SL1",
"nm9440275","SL1",
"nm9423781","SL4",
"nm9426948","SL4",
"nm9429856","SL4",
"nm9433169","ESP17",
"nm0","HBu5",
"nm9426825","SL3",
"nm9426047","SL3",
"nm9428594","SL3",
"nm9429582","SL3",
"nm9440276","SL3",
"nm9429887","SL3",
"nm0","HBu8",
"nm9429422","SL5",
"nm9428979","SL5",
"nm9440277","SL5",
"nm9428929","SL5",
"nm9427956","SL5",
"nm9424037","SL5",
"nm9426691","SL5",
"nm9425272","SL5",
"nm9428995","SL8",
"nm9425097","SL8",
"nm9427986","SL8",
"nm9425118","SL7",
"nm9427759","SL7",
"nm9427102","SL7",
"nm9425602","SL7",
"nm9427840","SL7",
"nm9423634","SL7",
"nm9429643","SL7",
"nm9439799","SL7",
"nm0","SL9",
"nm0","BbM10",
"nm0","WeK10",
"nm9427604","EL21",
"nm9432973","EL21",
"nm9432975","EL21",
"nm9428678","ArH210",
"nm9428368","ArH210",
"nm9426020","ArH210",
"nm9424853","ArH210",
"nm9426999","ArH210",
"nm9434204","SSi115",
"nm9428308","SSi115",
"nm0","ArH211",
"nm9429464","BoS70",
"nm9427140","BoS70",
"nm9431364","BoS70",
"nm0","LHz30",
"nm0","EL28",
"nm9424210","ArH215",
"nm9429737","ArH215",
"nm9428145","ArH215",
"nm9427183","ArH215",
"nm9429964","ArH215",
"nm9429964","ArH215",
"nm9429964","ArH215",
"nm9429964","ArH215",
"nm9427830","EL29",
"nm9432976","EL29",
"nm9432977","EL29",
"nm9432973","EL29",
"nm9426693","ArH207",
"nm9424643","ArH207",
