id,name,birthYear
"nm9431897","Paula Trueman","NULL",
"nm9439786","Dorothy Crehan","NULL",
"nm9441784","Ryan Phillipe","NULL",
"nm9424673","Danny deVito","NULL",
"nm9435163","John RhysDavis","NULL",
"nm9432188","Mike Schank","NULL",
"nm9424954","Gene Evans","1922",
"nm9428878","Richard X. Slattery","NULL",
"nm9425468","Gloria Grahame","1924",
"nm9434320","Stephen Shellen","NULL",
"nm9427873","Lilli Palmer","1911",
"nm9441649","Maria Gasperini","NULL",
"nm9439989","Linh Dan Pham","NULL",
"nm9435017","Erno Crisa","NULL",
"nm9424028","Pamela Carme","NULL",
"nm9437641","Brian Bremer","NULL",
"nm9439581","Ellen deGeneres","NULL",
"nm9437563","Thomas Aran","NULL",
"nm9433423","Movita Castenada","NULL",
"nm9431445","Louis G. Mercier","NULL",
"nm9440586","Shaun Weiss","NULL",
"nm9426946","Madonna","1959",
"nm9436316","Cliff Ellen","NULL",
"nm9431835","Griffin ONeal","NULL",
"nm9433577","Anita Eckberg","NULL",
"nm9435540","Peter Androair","NULL",
"nm9436722","Frederic Andrau","NULL",
"nm9438105","Janis Joplin","NULL",
"nm9440467","Djimin Hounson","NULL",
"nm9433864","Isabelle Jamieson","NULL",
"nm9423912","Mark Burns","1936",
"nm9441057","Vibeke Lokkeberg","NULL",
"nm9437462","George Clutesi","NULL",
"nm9424328","Fielder Cook","1923",
"nm9434797","Laura Peter","NULL",
"nm9434975","Buzz Merten","NULL",
"nm9431998","Darnell Williams","NULL",
"nm9437867","Alberto Benegas","NULL",
"nm9428515","Charles Ruggles","1886",
"nm9428278","Christopher Reeve","1952",
"nm9430870","Wadeck Stanczak","NULL",
"nm9426403","Bruce Kimmel","NULL",
"nm9424734","Patrice Donnelly","NULL",
"nm9424487","Jim Dale","1935",
"nm9434396","Amy BrandonThomas","NULL",
"nm9437267","Razvan Vasilescu","NULL",
"nm9434768","Freddie Bartolomew","NULL",
"nm9437643","Amy L. Taylor","NULL",
"nm9435050","Stanley Fields","NULL",
"nm9425422","Minna Gombell","1900",
"nm9423907","Smiley Burnette","NULL",
"nm9430451","Ted Donaldson","NULL",
"nm9440100","Clarence William~III","NULL",
"nm9437237","Gabriella Roel","NULL",
"nm9432683","Erskine Sandford","NULL",
"nm9439456","Jayce Bartok","NULL",
"nm9437155","Phillippe Noiret","NULL",
"nm9427133","May McAvoy","1901",
"nm9426226","Bobbie Jordan","1923",
"nm9436077","Whittni Wright","NULL",
"nm9426529","Arthur Lake","1905",
"nm9433394","Richard Alexander","NULL",
"nm9424602","Ermelinda deFelice","NULL",
"nm9439607","Danielle Darieux","NULL",
"nm9428891","Charles Martin Smith","NULL",
"nm9424196","Candy Clark","1949",
"nm9427123","Bill Maynard","1928",
"nm9426316","Brian Keith","1921",
"nm9426628","Delphi Lawrence","1927",
"nm9432697","Jean Gago","NULL",
"nm9429427","Lee VanCleef","1925",
"nm9428612","Susan Sarandon","1946",
"nm9435625","Bernie Gozier","NULL",
"nm9434757","Daphna Kastner","NULL",
"nm9439682","Eliajah Wood","NULL",
"nm9434955","Robin Bartlett","NULL",
"nm9431580","George MacReady","NULL",
"nm9425033","Verna Felton","1890",
"nm9432723","John Alderson","NULL",
"nm9436032","Bradley Pierce","NULL",
"nm9423648","Karen Black","1942",
"nm9424940","John Ericson","1927",
"nm9432897","Karin Schubert","NULL",
"nm9427134","Diane McBain","1941",
"nm9429784","Beverly Wills","NULL",
"nm9427280","Jane Merrow","1941",
"nm9430616","Andre Deed","NULL",
"nm9434762","Gina Roman","NULL",
"nm9439253","Samual L. Jackson","NULL",
"nm9435183","Jai","NULL",
"nm9437096","Nino Bignamini","NULL",
"nm9429966","Vicki Jenson","NULL",
"nm9434090","Murray Kinnell","NULL",
"nm9426904","Jack MacGowran","1916",
"nm9434257","Abner Biberman","NULL",
"nm9437331","Susan Seaforth Hayes","NULL",
"nm9432901","Ruth Selwyn","NULL",
"nm9437130","Leonore Aubert","NULL",
"nm9424728","Ludwig Donath","1900",
"nm9431085","Andy Garcia","NULL",
"nm9435622","Jaques Villeret","NULL",
"nm9439684","Jordan Brewster","NULL",
"nm9425596","Jean Hagen","1924",
"nm9441558","Jenny Ingo","NULL",
"nm9441562","Mr.~Kent","NULL",
"nm9425406","Paulette Goddard","1911",
"nm9429722","May Whitty","1865",
"nm9435736","Al Mathews","NULL",
"nm9426071","Jim Hutton","1934",
"nm9428909","Sonja Smits","NULL",
"nm9429203","Rod Taylor","1929",
"nm9437772","Milos Forman","NULL",
"nm9433814","Laura Herrring","NULL",
"nm9432679","Isabelle Sadoyan","NULL",
"nm9438325","Annie Golden","NULL",
"nm9439696","Capl Topa","NULL",
"nm9424867","Buddy Ebsen","1908",
"nm9439459","Bill Monroe","NULL",
"nm9438062","Glynn Thurman","NULL",
"nm9427128","Melanie Mayron","NULL",
"nm9428697","Steven Seagal","1952",
"nm9429855","Edward Woodward","NULL",
"nm9440656","Joseph Mobuto","NULL",
"nm9438221","Paul Thoma","NULL",
"nm9435822","Kessia Kordelle","NULL",
"nm9434667","Emer McCourt","NULL",
"nm9425683","Gordon Harker","1885",
"nm9434550","Lewis Hooper","NULL",
"nm9441267","John Caglione~jr","NULL",
"nm9423549","Brian Benben","NULL",
"nm9431631","Derek Scott","NULL",
"nm9430420","Jeffrey Linn","NULL",
"nm9425274","Ava Gardner","1922",
"nm9430914","Rudolf Lucieer","NULL",
"nm9433898","Wyndham Standing","NULL",
"nm9425254","Eva Gabor","1921",
"nm9435759","Romald Coleman","NULL",
"nm9426630","Gertrude Lawrence","1898",
"nm9431564","Bruce Yarnell","NULL",
"nm9432524","Carol deLuise","NULL",
"nm9440325","Miki Howard","NULL",
"nm9426868","Joanna Lumley","1946",
"nm9429066","Jill StJohn","1940",
"nm9427279","George Merritt","1890",
"nm9432621","Marie Versini","NULL",
"nm9434727","Sonja Moser","NULL",
"nm9426434","Oreste Kirkop","NULL",
"nm9434589","Shepperd Strudwick","NULL",
"nm9436793","Frances Mcdorman","NULL",
"nm9434622","David Saber","NULL",
"nm9433144","Fr\'ed\'eric VanDenDriesche","NULL",
"nm9430975","Olga GeorgesPicot","NULL",
"nm9428864","Lilia Skala","NULL",
"nm9434962","Sean Kanan","NULL",
"nm9429288","Jennifer Tilly","NULL",
"nm9433546","Oliver Williams","NULL",
"nm9430931","Zbigniew Zapasiewicz","NULL",
"nm9431766","Richard Venture","NULL",
"nm9430018","Sinead Cusack","NULL",
"nm9432719","Rip Torn)","NULL",
"nm9434286","Vivica A. Fox","NULL",
"nm9426236","Leatrice Joy","1899",
"nm9441123","Lillian Ghish","NULL",
"nm9426737","Albert Lieven","1906",
"nm9436511","Christine Freeman","NULL",
"nm9434690","Geoge Irving","NULL",
"nm9437601","Ron Livingston","NULL",
"nm9424594","Yvonne deCarlo","1922",
"nm9423179","Woody Allen","1935",
"nm9423194","Leon Ames","1903",
"nm9434648","Julie Payne","NULL",
"nm9436353","Robert Cummins","NULL",
"nm9434480","Harold O. Dyrenforth","NULL",
"nm9441108","George Barraud","NULL",
"nm9428046","Brad Pitt","NULL",
"nm9429729","Lynda Wiesmeyer","NULL",
"nm9432543","Susan Blakley","NULL",
"nm9436500","Don Baker","NULL",
"nm9429725","Mary Wickes","1916",
"nm9439973","Ulli Lommel","NULL",
"nm9433478","Edward Norton","NULL",
"nm9436424","Marcelle Hainia","NULL",
"nm9428136","Jurgen Prochnow","NULL",
"nm9431348","Maxime Leroux","NULL",
"nm9430364","Kati Outinen","NULL",
"nm9437330","Suzanne Kent","NULL",
"nm9423556","Annette Bening","NULL",
"nm9426560","Michael Landon","1937",
"nm9440910","Robe Lowe","NULL",
"nm9425855","Arnold Hess~jr.","NULL",
"nm9441074","Peter Meyers","NULL",
"nm9428807","Anne Shirley","1918",
"nm9439338","Arkie Whiteley","NULL",
"nm9438752","Giulio Manieri","NULL",
"nm9430686","Colm Meany","NULL",
"nm9430223","Warren Williams","NULL",
"nm9435107","William redield","NULL",
"nm9440693","Kathyn Keenan","NULL",
"nm9433512","Ursala Howells","NULL",
"nm9438337","Kelly Thordsen","NULL",
"nm9438440","Robert moore","NULL",
"nm9435925","Jill Whelan","NULL",
"nm9427576","Laurence Naismith","1908",
"nm9431074","Sylvia Williams","NULL",
"nm9440686","Jeff Lau","NULL",
"nm9429847","Peggy Wood","1892",
"nm9440194","John Duncan","NULL",
"nm9440569","Lacey Chabert","NULL",
"nm9428263","Alan Reed","1908",
"nm9435097","Rowena King","NULL",
"nm9425132","Glenn Ford","1916",
"nm9428574","S.Z. Sakall","1884",
"nm9430450","Benny Rubin","NULL",
"nm9428833","Joan Micklin Silver","1935",
"nm9439419","Jane Kaczmarek","NULL",
"nm9440346","Massoumeh Naderi","NULL",
"nm9433588","Arthur Godfrey","NULL",
"nm9434994","Gene Kirkwood","NULL",
"nm9438127","Anita Bjork","NULL",
"nm9427715","Jack Oakie","1903",
"nm9433659","Lily Damita","NULL",
"nm9435453","Rita LeRoy","NULL",
"nm9423218","Michael Anderson~jr.","1943",
"nm9427947","Lloyd Pearson","1897",
"nm9423572","Martin Benson","1918",
"nm9436707","Richard Biers","NULL",
"nm9440160","Keith Vitali","NULL",
"nm9423955","Jimmy Cagney","1899",
"nm9436637","Charles Middleton1","NULL",
"nm9440362","Charles Rampling","NULL",
"nm9425199","Bill Fraser","NULL",
"nm9425163","Susannah Fowle","NULL",
"nm9436525","Barbara Dennek","NULL",
"nm9433890","Kathy Ireland","NULL",
"nm9427531","Herbert Mundin","1898",
"nm9425921","Geoffrey Holder","NULL",
"nm9433275","Peggy Shannon","NULL",
"nm9434953","Gary Maas","NULL",
"nm9428530","Betsy Russell","NULL",
"nm9424773","LesleyAnne Down","1954",
"nm9439085","Annabella","NULL",
"nm9440980","Veruschka","NULL",
"nm9425042","J. Don Ferguson","NULL",
"nm9427340","Walter C. Miller","1892",
"nm9439028","George Humbert","NULL",
"nm9441390","Otto Sandler","NULL",
"nm9430110","Aurore Prieto","NULL",
"nm9432718","Toby Huss","NULL",
"nm9428051","Roger Planchon","NULL",
"nm9431067","Allan Garfield","NULL",
"nm9437669","Eleanore Whitney","NULL",
"nm9434486","Percy Heston","NULL",
"nm9426646","Francis Lederer","1906",
"nm9424691","John Dierkes","1905",
"nm9433185","Jean-Claude Brialy","NULL",
"nm9431394","Benjamin Weir","NULL",
"nm9440970","John Cronin","NULL",
"nm9439027","Bert Hanlon","NULL",
"nm9440248","Montague Sidney","NULL",
"nm9427598","Kay Nebel","1889",
"nm9432757","Justine Arlin","NULL",
"nm9430463","Ronald Frankau","NULL",
"nm9437689","Adriane Rimscha","NULL",
"nm9424785","Sonia Dresdel","1909",
"nm9436565","Barbara Blaxley","NULL",
"nm9423543","Richard Beltran","NULL",
"nm9438523","Paul Comi","NULL",
"nm9424412","Jack Creley","NULL",
"nm9440876","Brian Murray","NULL",
"nm9441326","Indus Arthur","NULL",
"nm9430381","Donnelly Rhodes","NULL",
"nm9436340","Kesha Reed","NULL",
"nm9437684","Manuael Aranguez","NULL",
"nm9427969","Esme Percy","1887",
"nm9423527","Charles Belcher","NULL",
"nm9433837","Slim Pickins","NULL",
"nm9431335","Rock Brocksmith","NULL",
"nm9425719","Kathryn Harrold","1950",
"nm9440891","Ray Wistone","NULL",
"nm9441726","Carl Alt","NULL",
"nm9441426","Lyle Latell","NULL",
"nm9429903","Arthur Young","1898",
"nm9431499","Doug E. Doug","NULL",
"nm9434343","Georg Rydeberg","NULL",
"nm9424173","Navin Chowdhury","NULL",
"nm9435021","Glenna Foster Jones","NULL",
"nm9423770","Rob Brady","NULL",
"nm9430441","Wanda Rotha","NULL",
"nm9441352","Carlos Brown","NULL",
"nm9430322","Pete Seeger","NULL",
"nm9431383","Graeme Blundell","NULL",
"nm9438226","Otto Waldis","NULL",
"nm9430182","Annabelle","NULL",
"nm9425012","Rainer Fassbinder","1945",
"nm9431537","Guido Colucci","NULL",
"nm9428787","John Shepperd","1907",
"nm9424898","Ike Eisenmann","NULL",
"nm9431304","Adrien Brody","NULL",
"nm9434164","Anthony Dexter","NULL",
"nm9429741","Robert J. Wilke","1911",
"nm9433015","Billy Bevan","NULL",
"nm9430026","Barbara Greene","NULL",
"nm9431026","M. Valli","NULL",
"nm9429806","Claire Windsor","1898",
"nm9440546","Jules Gray","NULL",
"nm9432173","Kerima","NULL",
"nm9423706","Ward Bond","1903",
"nm9423708","Sergei Bondartchuk","1920",
"nm9438408","Terrence Stamp","NULL",
"nm9440135","N.N. Arski","NULL",
"nm9441188","Marge Redmond","NULL",
"nm9428104","Tyrone Power","1913",
"nm9433090","Alan Scarfe","NULL",
"nm9432014","Ralph Bewllamy","NULL",
"nm9440108","Tim Healy","NULL",
"nm9425158","Phil Foster","NULL",
"nm9423544","Robert Beltran","NULL",
"nm9433756","JeanPhillippe Lafort","NULL",
"nm9433374","Gerald Flood","NULL",
"nm9426611","Tom Laughlin","1938",
"nm9434851","Kathryn Grody","NULL",
"nm9434789","Fred Kalmar","NULL",
"nm9436802","Masuyaki Mori","NULL",
"nm9424368","Bill Cosby","1938",
"nm9438916","AndieGregg Edelman","NULL",
"nm9436013","Screaming Jay Hawkins","NULL",
"nm9429527","Henry Wadsworth","1902",
"nm9429892","Tsutomu Yamazaki","NULL",
"nm9428165","Diana Quick","1946",
"nm9437093","Karl Stepanek","NULL",
"nm9425204","William Frawley","1887",
"nm9431134","Michael Robbins","NULL",
"nm9439922","Gary Miller","NULL",
"nm9430410","Teri Hatcher","NULL",
"nm9436551","Barbara Traub","NULL",
"nm9438297","Elena Sofonova","NULL",
"nm9423336","Claudine Auger","1942",
"nm9432867","John C. McGinley","NULL",
"nm9425859","Martin Hewitt","NULL",
"nm9424700","Matt Dillon","1964",
"nm9424049","Bruce Carradine","NULL",
"nm9434252","Joan Fountaine","NULL",
"nm9429205","Valerie Taylor","NULL",
"nm9437960","Van Morrison","NULL",
"nm9424052","Keith Carradine","1945",
"nm9439638","Andreas Katsulas","NULL",
"nm9441790","Angela Jolie","NULL",
"nm9432521","Dick Davalos","NULL",
"nm9431127","Villalongo","NULL",
"nm9432050","Liv Ullman","NULL",
"nm9429953","Vittorio deSics","NULL",
"nm9437052","Desmond LLewellyn","NULL",
"nm9424093","William Castle","1914",
"nm9427601","Kay Neer","NULL",
"nm9431469","Martin Ferraro","NULL",
"nm9433996","Maria Dea","NULL",
"nm9428663","Reinhold Schunzel","1886",
"nm9424725","James Donald","1917",
"nm9434158","Jason Fleming","NULL",
"nm9426413","Mabel King","NULL",
"nm9429394","Beverly Tyler","1924",
"nm9439527","Kathy Lemons","NULL",
"nm9430566","Philip Seymour Hoffman","NULL",
"nm9428388","The Ritz-Brothers","NULL",
"nm9434501","Imogene Coca","NULL",
"nm9431255","Anna Galiena","NULL",
"nm9440315","Philip Chan Yan","NULL",
"nm9432892","Abnes Moorehead","NULL",
"nm9429594","Michael Warren","NULL",
"nm9430020","Vittorio deSica","NULL",
"nm9441521","Susan Hubble","NULL",
"nm9427708","Ivor Novello","1893",
"nm9433245","Toshia Mori","NULL",
"nm9425008","Sharon Farrell","NULL",
"nm9433400","Hannah Ralph","NULL",
"nm9435719","Chris Bedenko","NULL",
"nm9430459","Kevin Conway","NULL",
"nm9424720","William Doherty","NULL",
"nm9425657","Miyi Hana","NULL",
"nm9428493","George Rossi","NULL",
"nm9436887","Robert Bice","NULL",
"nm9427006","Stuart Margolin","1940",
"nm9429612","Ethel Waters","1896",
"nm9437393","Vittorio Mezzogiorno","NULL",
"nm9440175","Liane Pathe","NULL",
"nm9426569","Kent Lane","NULL",
"nm9428727","Almira Sessions","1888",
"nm9432948","Frank Wolff","NULL",
"nm9441066","James Melton","NULL",
"nm9426419","Walter Kingsford","1882",
"nm9435877","Tony Oursler","NULL",
"nm9441129","Nikolai Batalov","NULL",
"nm9426702","Valerie Leon","NULL",
"nm9434297","Lacey J. Dalton","NULL",
"nm9437382","David Sabin","NULL",
"nm9438058","George T. Odom","NULL",
"nm9430766","Joan Severance","NULL",
"nm9440927","Rufus Read","NULL",
"nm9429161","Sylvie","1883",
"nm9423837","James L. Brooks","NULL",
"nm9423892","Jeremy Bulloch","NULL",
"nm9423921","Kate Burton","1958",
"nm9433046","Robert Middlemass","NULL",
"nm9430310","Vilmos Zsigmond","NULL",
"nm9430066","Ada Stewart","NULL",
"nm9437248","Johann deMeester","NULL",
"nm9440512","Warren Berlin","NULL",
"nm9425845","Eileen Herlie","1919",
"nm9426266","Helen Kane","1904",
"nm9429199","Laurette Taylor","1884",
"nm9435698","Jacob Beks","NULL",
"nm9432386","Ann Ramsey","NULL",
"nm9433676","Jason Myrick","NULL",
"nm9437161","Francois Berleand","NULL",
"nm9434753","Nelly Alard","NULL",
"nm9425174","C.V. France","1868",
"nm9425699","Joann Harris","NULL",
"nm9439953","Alan Coeberge","NULL",
"nm9427523","Edward Mulhare","1923",
"nm9431837","Red Wing","NULL",
"nm9435858","Noah Berry~jr","NULL",
"nm9432249","Matthew Guiness","NULL",
"nm9424348","Lola Cordova","NULL",
"nm9430610","Terry Farrar","NULL",
"nm9436869","Cyndi Pass","NULL",
"nm9425885","Violet Hilton","1908",
"nm9427804","Michael Ontkean","1946",
"nm9438130","Vernon Gray","NULL",
"nm9433865","Mike Ballew","NULL",
"nm9425044","Fernandel","1903",
"nm9436803","Kinuo Tanaka","NULL",
"nm9436994","Denis Lavant","NULL",
"nm9426393","Dead End Kids","NULL",
"nm9424856","George Eastman","NULL",
"nm9437501","Saffron Burrows","NULL",
"nm9428065","Adelina Poerio","NULL",
"nm9432751","Charlotte Lewis","NULL",
"nm9428187","Steve Railsback","NULL",
"nm9429165","Sidney Tafler","1916",
"nm9424736","Amanda Donohue","1962",
"nm9440851","Craig Chester","NULL",
"nm9428098","Michael Powell","1905",
"nm9438340","Basil rsthbone","NULL",
"nm9439645","Rob Morrow","NULL",
"nm9426977","David Manners","1901",
"nm9430414","Stellan Skarsgard","NULL",
"nm9430949","Hershel Bernardi","NULL",
"nm9441027","Sidney Howard","NULL",
"nm9440641","Mr.~T","NULL",
"nm9441662","Marin Marshall","NULL",
"nm9428227","Peter Ratray","NULL",
"nm9435418","Boerje Ahlsted","NULL",
"nm9440089","David Helfgott","NULL",
"nm9434120","Maurizio Vega","NULL",
"nm9439522","Welken White","NULL",
"nm9427312","Sarah Miles","1941",
"nm9424732","Jeff Donnell","1921",
"nm9429306","Marisa Tomei","NULL",
"nm9437342","Elizabeth Dailey","NULL",
"nm9429918","Victor Sen Young","NULL",
"nm9431988","Jim Mitchum","NULL",
"nm9429726","Richard Widmark","1914",
"nm9424560","Mac Davis","NULL",
"nm9434978","Tyler McVey","NULL",
"nm9434983","Bartlett Robinson","NULL",
"nm9439618","Emerson Treacy","NULL",
"nm9423365","Jim Backus","1913",
"nm9432700","Winston Reckert","NULL",
"nm9436303","David Pierce","NULL",
"nm9437289","Vladimir Fogel","NULL",
"nm9424003","Irene Cara","NULL",
"nm9433990","Sue Anne Langdon","NULL",
"nm9425935","Taylor Holmes","1872",
"nm9433875","Zack OMaley Greenburg","NULL",
"nm9434570","Georgia Browne","NULL",
"nm9430740","Pat Hitchcock","NULL",
"nm9441771","Roger Dupois","NULL",
"nm9432305","Adreinne Dore","NULL",
"nm9431395","David Douche","NULL",
"nm9439780","Clary Hunter","NULL",
"nm9437133","Arthur Hunnicutt","NULL",
"nm9428200","Jessie Ralph","1864",
"nm9436970","Francoise Lugagne","NULL",
"nm9425419","Clio Goldsmith","NULL",
"nm9438671","A.E. GouldPorter","NULL",
"nm9441001","Ziggy Elman","NULL",
"nm9441711","Poway Emarald Brigade Marching Band","NULL",
"nm9426171","Ann Jillian","NULL",
"nm9428425","James Robertson","NULL",
"nm9437363","Elham Shari","NULL",
"nm9438776","Chris Eccleston","NULL",
"nm9427267","Melina Mercouri","1923",
"nm9429429","Trish VanDevere","1943",
"nm9426598","Keith Larsen","1925",
"nm9438138","John Favreau McDormand","NULL",
"nm9440204","Rex Sevenoaks","NULL",
"nm9430493","Charles Chaplin~jr.","NULL",
"nm9437124","Hugh Sothern","NULL",
"nm9424279","Ronald Colman","1891",
"nm9426499","Paul Kukas","NULL",
"nm9424194","O.B. Clarence","1870",
"nm9438485","Jenifer Lea","NULL",
"nm9433468","Roland Drew","NULL",
"nm9427977","Anna Perrier","NULL",
"nm9432995","Fred Malatesta","NULL",
"nm9432115","JeanLuc Bibeau","NULL",
"nm9433500","Jean Moorehead","NULL",
"nm9434933","Percy Parsons","NULL",
"nm9426762","Lucien Littlefield","1895",
"nm9433513","Oliver MacGreevy","NULL",
"nm9435490","vittorio Gassman","NULL",
"nm9423848","Bruce Brown","NULL",
"nm9431212","Bruce Dushman","NULL",
"nm9425843","Tim Herbert","NULL",
"nm9432873","Ula Holt","NULL",
"nm9432191","Serreau","NULL",
"nm9435038","George Corraface","NULL",
"nm9436909","Regis Tomey","NULL",
"nm9436300","Omri Katz","NULL",
"nm9436959","Rosario Granados","NULL",
"nm9440001","Billie Gray","NULL",
"nm9438572","Georges Marchal","NULL",
"nm9430076","Duke Howard","NULL",
"nm9423308","Armand Assante","NULL",
"nm9425716","Kathleen Harrison","1898",
"nm9438410","Suzen Murakoshi","NULL",
"nm9435681","Arcadia T.","NULL",
"nm9425510","Joan Greenwood","1921",
"nm9441186","Cybill Sheppherd","NULL",
"nm9434479","Ben Asta","NULL",
"nm9435740","Leonard diCaprio","NULL",
"nm9439171","Jet Li","NULL",
"nm9433952","Richard Norton","NULL",
"nm9434760","Noel Harrison","NULL",
"nm9426535","Gil Lamb","1906",
"nm9436005","Eszter Balint","NULL",
"nm9437983","Jonathan Price","NULL",
"nm9432379","Ulrich Wesselman","NULL",
"nm9429875","Maris Wrixon","1917",
"nm9423495","Geoffrey Bayldon","1924",
"nm9436225","Richard Farrington","NULL",
"nm9441699","Devon Ericson","NULL",
"nm9424139","Marguerite Chapman","1916",
"nm9431944","Ugo Piperno","NULL",
"nm9432367","Jon Stewart","NULL",
"nm9425282","Beverly Garland","1926",
"nm9426626","Barbara Lawrence","1928",
"nm9431041","Ray McDonald","NULL",
"nm9428900","Maggie Smith","1934",
"nm9429479","Jerry Verno","1895",
"nm9436061","Skip Karn","NULL",
"nm9435172","Leo Gann","NULL",
"nm9438718","Pam Dawber","NULL",
"nm9426386","Mark Keyloun","NULL",
"nm9435683","Mysty Winkler","NULL",
"nm9427755","Lani OGrady","NULL",
"nm9436693","Chris Pedersen","NULL",
"nm9424322","Morgan Conway","1903",
"nm9435577","Natassia Kinski","NULL",
"nm9429525","Milena Vukotic","NULL",
"nm9424925","Faye Emerson","1917",
"nm9427714","Will Nye","NULL",
"nm9433636","Francoise Seigner","NULL",
"nm9424310","William Conrad","1920",
"nm9434450","Laurinda Barrett","NULL",
"nm9426790","Jaqueline Logan","NULL",
"nm9437974","Rick Nolte","NULL",
"nm9435013","Brian OShaugnessy","NULL",
"nm9436578","Lucas Gridoux","NULL",
"nm9439076","Wendie Malick","NULL",
"nm9438537","Lola Cordona","NULL",
"nm9437142","Russel Gleason","NULL",
"nm9423720","David Booth","1930",
"nm9434862","Herbert Edelman","NULL",
"nm9441335","Robin Matson","NULL",
"nm9440780","Art Acord","NULL",
"nm9438721","Gloria Ruben","NULL",
"nm9428554","Robert Ryan","1909",
"nm9434694","Alan Rein","NULL",
"nm9433548","Marguerite dela Motte","NULL",
"nm9430948","Joe deSantis","NULL",
"nm9438019","Peter Egan","NULL",
"nm9423647","Gunnar Bjornstrand","NULL",
"nm9429116","Margaret Sullavan","1911",
"nm9425801","Elayne Heilveil","NULL",
"nm9437851","Leonide Massine","NULL",
"nm9425522","Robert Greig","1880",
"nm9429351","Ivan Triesault","1898",
"nm9430483","Earl Wilson","NULL",
"nm9439421","Rob Knepper","NULL",
"nm9437602","Jennifer Anniston","NULL",
"nm9429178","Yoki Tani","1932",
"nm9430726","Henri Lambert","NULL",
"nm9429756","Emlyn Williams","1905",
"nm9433553","Carmel Meyers","NULL",
"nm9437553","Gil Warner","NULL",
"nm9430815","Jack London","NULL",
"nm9430669","Mary Costa","NULL",
"nm9434922","Ed Koch","NULL",
"nm9431121","Vanessa Williman","NULL",
"nm9440907","Tab Huanter","NULL",
"nm9435747","Shawn Carson","NULL",
"nm9433601","Steve Gutenberg","NULL",
"nm9436312","Jeffrey Walker","NULL",
"nm9439570","Tomisaburo Watanabe","NULL",
"nm9424183","Sarah Churchill","NULL",
"nm9424489","John Dall","1918",
"nm9438140","Rozz Rezabeck","NULL",
"nm9440115","Ernesto Beadle","NULL",
"nm9423477","Steve Bassett","NULL",
"nm9429389","Shannon Tweed","NULL",
"nm9433657","Richmond Arquette","NULL",
"nm9424735","Ruth Donnelly","1896",
"nm9427315","Vera Miles","1929",
"nm9438935","Lauri Peters","NULL",
"nm9429445","Timothy VanPatten","NULL",
"nm9438099","Bob Crosby","NULL",
"nm9429158","Eric Sykes","1923",
"nm9430838","Timothy Busfield","NULL",
"nm9433522","Bruce Marchiano","NULL",
"nm9427292","Drew Michaels","NULL",
"nm9429052","Sandy Stewart","NULL",
"nm9432851","Robert Barat","NULL",
"nm9430522","Billy Crudup","NULL",
"nm9433111","Albert Bitterling","NULL",
"nm9436965","Silvia Pinal","NULL",
"nm9431725","Gavin Gordon","NULL",
"nm9423835","Geraldine Brooks","1925",
"nm9429664","Mary Louise Weller","NULL",
"nm9427359","MiouMiou","1950",
"nm9440301","Warren Baxter","NULL",
"nm9427083","Daniel Massey","1933",
"nm9436054","Kate Beckinsdale","NULL",
"nm9441502","Matthew Boulton","NULL",
"nm9440424","Bill Phillips Murry","NULL",
"nm9430588","Ulla Jacobson","NULL",
"nm9432083","Jacques Penot","NULL",
"nm9434463","Louise Larabee","NULL",
"nm9438888","Halo Qualteppe","NULL",
"nm9440901","Joe Robinson","NULL",
"nm9426350","Takakura Ken","NULL",
"nm9432268","Frances Hunt","NULL",
"nm9425383","Anton Glanzelius","NULL",
"nm9427929","Morgan Paull","NULL",
"nm9430168","J.Warren Kerrigan","NULL",
"nm9439768","Everett Glass","NULL",
"nm9434586","Mathias Freihof","NULL",
"nm9425825","Charlotte Henry","1913",
"nm9437985","Stan Phillips","NULL",
"nm9431831","Peter Bayliss","NULL",
"nm9424844","Robert Duvall","1931",
"nm9430719","Ellen Busteyn","NULL",
"nm9435825","Jeanne Eagles","NULL",
"nm9426627","Bruno Lawrence","NULL",
"nm9425465","Betty Grable","1916",
"nm9426553","Judy Landers","NULL",
"nm9440388","Subir Banerjee","NULL",
"nm9424300","Jenifer Connelly","NULL",
"nm9426275","John Karlen","1935",
"nm9429408","Minerva Urecal","1896",
"nm9424155","Joan Chen","NULL",
"nm9433146","Aurore Rauscher","NULL",
"nm9441238","Vu May","NULL",
"nm9438225","Yvette Vickers","NULL",
"nm9424419","Donald Crisp","1880",
"nm9427858","Debra Paget","1933",
"nm9427560","Stephen Murray","1912",
"nm9424260","Constance Collier","1878",
"nm9429395","Liv Tyler","NULL",
"nm9435221","Donal McCann","NULL",
"nm9438431","Robert Stauss","NULL",
"nm9441684","Ken Abraham","NULL",
"nm9434445","Lola DAnnuzio","NULL",
"nm9438262","Phil Philips","NULL",
"nm9428963","Sylvester Stallone","1946",
"nm9440522","Lilli Taylor","NULL",
"nm9427322","Ann Miller","1919",
"nm9430978","Ray Rodgers","NULL",
"nm9434419","Gertrude Hoffman","NULL",
"nm9428985","Charles Starrett","1904",
"nm9434758","Victoria Foyt","NULL",
"nm9437717","Evalyn Knapp","NULL",
"nm9433796","Alex Davion","NULL",
"nm9432111","Sami Frey","NULL",
"nm9431401","Charles Lavine","NULL",
"nm9436163","Albert Steinr\"uck","NULL",
"nm9438196","Julie Kent","NULL",
"nm9425964","Lee Horsley","NULL",
