movieId,rating,numVotes,
"NNo11",0,0,
"YMZ26",0,0,
"EL60",0,0,
"EL61",0,0,
"YMZ24",0,0,
"AlP10",0,0,
"EL62",0,0,
"JCw70",0,0,
"EL63",0,0,
"EL64",0,0,
"EL65",0,0,
"IWa7",0,0,
"ReH10",0,0,
"RBu10",0,0,
"YMZ29",0,0,
"LaK9",0,0,
"EL67",0,0,
"ReH16",0,0,
"JCw73",0,0,
"EL68",0,0,
"EL69",0,0,
"RBu15",0,0,
"YMZ22",0,0,
"YMZ20",0,0,
"JCw75",0,0,
"AlP15",0,0,
"JCw69",0,0,
"JCw68",0,0,
"JoD11",0,0,
"CDr30",0,0,
"PaH52",0,0,
"LaJ9",0,0,
"CCo12",0,0,
"PaH53",0,0,
"TiB3",0,0,
"PaH54",0,0,
"VME8",0,0,
"TiB2",0,0,
"CCo14",0,0,
"EL51",0,0,
"PaH55",0,0,
"VME9",0,0,
"TiB1",0,0,
"EL52",0,0,
"LaJ5",0,0,
"EL53",0,0,
"EL54",0,0,
"PaH50",0,0,
"JoD12",0,0,
"EL55",0,0,
"PaH51",0,0,
"JoD13",0,0,
"JCw63",0,0,
"EL56",0,0,
"JCw62",0,0,
"EL57",0,0,
"JCw61",0,0,
"EL58",0,0,
"JCw67",0,0,
"TiB8",0,0,
"JCw65",0,0,
"TiB6",0,0,
"KLe1",0,0,
"JCw64",0,0,
"TiB5",0,0,
"KoI8",0,0,
"AJo10",0,0,
"JCw57",0,0,
"KoI5",0,0,
"SR1",0,0,
"LaK2",0,0,
"JoD20",0,0,
"IWa1",0,0,
"CDr40",0,0,
"IWa2",0,0,
"FLg10",0,0,
"CCo10",0,0,
"LaK1",0,0,
"CCo11",0,0,
"CDr10",0,0,
"PHa10",0,0,
"PHa15",0,0,
"PaH60",0,0,
"PaH61",0,0,
"RoV15",0,0,
"ArH230",0,0,
"RoV13",0,0,
"ArH236",0,0,
"RoV10",0,0,
"SS1",0,0,
"CEd20",0,0,
"ArH227",0,0,
"RMu33",0,0,
"SS3",0,0,
"NF21",0,0,
"SS2",0,0,
"BMa10",0,0,
"SS5",0,0,
"SS4",0,0,
"BdP8",0,0,
"NoM10",0,0,
"RMu37",0,0,
"SS7",0,0,
"SS6",0,0,
"Z9810",0,0,
"SS9",0,0,
"NF27",0,0,
"SS8",0,0,
"NF29",0,0,
"BdP2",0,0,
"BdP1",0,0,
"NF25",0,0,
"RBu20",0,0,
"C30",0,0,
"TGA4",0,0,
"AxB10",0,0,
"DGr1",0,0,
"TGA2",0,0,
"DRu10",0,0,
"ArH240",0,0,
"PHa25",0,0,
"BRo7",0,0,
"RMu17",0,0,
"ArP6",0,0,
"RMu18",0,0,
"ArP5",0,0,
"UlG1",0,0,
"KOt10",0,0,
"RMu19",0,0,
"ArP4",0,0,
"UlG2",0,0,
"UlG3",0,0,
"ArP2",0,0,
"ArP1",0,0,
"TGA8",0,0,
"DRu15",0,0,
"TGA6",0,0,
"NF10",0,0,
"RMu25",0,0,
"IFa8",0,0,
"Z9820",0,0,
"MAl5",0,0,
"NF16",0,0,
"NF12",0,0,
"C40",0,0,
"MAl2",0,0,
"NF13",0,0,
"NF14",0,0,
"BS1",0,0,
"BS4",0,0,
"TCl10",0,0,
"ScM10",0,0,
"PRo96",0,0,
"BS6",0,0,
"BS5",0,0,
"TiG3",0,0,
"BS8",0,0,
"TiG2",0,0,
"PRo93",0,0,
"PRo90",0,0,
"bQs30",0,0,
"MSt30",0,0,
"BBr10",0,0,
"AKr10",0,0,
"MC11",0,0,
"HGL10",0,0,
"FWh10",0,0,
"RWa80",0,0,
"FNm40",0,0,
"MC15",0,0,
"KeA19",0,0,
"AAS10",0,0,
"MT10",0,0,
"ChH10",0,0,
"DHg10",0,0,
"GCh10",0,0,
"RlM10",0,0,
"MSt20",0,0,
"LOl4",0,0,
"LOl3",0,0,
"KeA10",0,0,
"LOl2",0,0,
"LOl1",0,0,
"xGc10",0,0,
"HDA6",0,0,
"RtB7",0,0,
"AxS10",0,0,
"CEd10",0,0,
"NF30",0,0,
"RtB6",0,0,
"RtB5",0,0,
"HDA7",0,0,
"RtB4",0,0,
"RtB3",0,0,
"RtB2",0,0,
"RtB1",0,0,
"CDr9",0,0,
"FNm32",0,0,
"CDr5",0,0,
"RWa72",0,0,
"FNm30",0,0,
"CDr2",0,0,
"RtB9",0,0,
"ALu30",0,0,
"RtB8",0,0,
"SLJ14",0,0,
"AKa20",0,0,
"GCh20",0,0,
"C65",0,0,
"MkG15",0,0,
"SLJ11",0,0,
"MkG12",0,0,
"JoD26",0,0,
"GCh23",0,0,
"MkG10",0,0,
"SLJ12",0,0,
"IHk25",0,0,
"MSt10",0,0,
"MTU10",0,0,
"MRr5",0,0,
"IHk20",0,0,
"SW3",0,0,
"AVa17",0,0,
"SW2",0,0,
"AVa12",0,0,
"SW7",0,0,
"SW6",0,0,
"SW8",0,0,
"AVa10",0,0,
"JoD30",0,0,
"SfG1",0,0,
"FNm20",0,0,
"IGy10",0,0,
"RcB8",0,0,
"AKa10",0,0,
"RcB5",0,0,
"C76",0,0,
"RcB3",0,0,
